id	word	other-1	other-2	other-3	pos	morphology	number	code	definitions
23285	inconruptibilitas	inconruptibilitat			N	3 1 F T		E E X E S	incorruptibility, imperishability;
23286	inconruptibiliter				ADV	POS		E E X F S	incorruptibly, imperishably;
23287	inconruptio	inconruption			N	3 1 F T		E E X E S	incorruptibility, imperishability;
23288	inconruptiv	inconruptiv			ADJ	1 1 POS		E E X F S	incorruptible, imperishable;
23289	inconruptori	inconruptori			ADJ	1 1 POS		E E X F S	incorruptible, imperishable;
23290	inconsequens	inconsequent			ADJ	3 1 POS		E X X E S	inconsequent; not logically connected;
23291	inconsequenter				ADV	POS		E X X E S	inconsequentially; illogically;
23292	inconsequenti	inconsequenti			N	1 1 F T		D G X E S	inconsequence; lack of logical connection;
23293	inconsideranti	inconsideranti			N	1 1 F T		X X X E S	inconsideration;
23294	inconsiderat	inconsiderat			ADJ	1 1 POS		X X X E C	thoughtless, inconsiderate; unadvised, reckless (passive);
23295	inconstabil	inconstabil			ADJ	3 2 POS		E X X F P	unreliable;
23296	inconstabilit	inconstabilit			ADJ	1 1 POS		E X X F P	unstable;
23297	inconstabilitas	inconstabilitat			N	3 1 F T		E X X F P	helplessness;
23298	inconstabilitio	inconstabilition			N	3 1 F T		E X X F S	not standing firmly; trembling (Souter); indecision (Vulgate);
23299	inconstans	inconstant			ADJ	3 1 POS		X X X D X	changeable, fickle;
23300	inconstanter	inconstantius	inconstantissime		ADV	X		X X X D X	irregularly, inconsistently, capriciously, irresolutely; not evenly/steadily;
23301	inconstanti	inconstanti			N	1 1 F T		X X X D X	changeableness fickleness;
23302	inconsult	inconsult			ADJ	1 1 POS		X X X D X	rash, ill-advised, thoughtless, injudicious; unconsulted, not asked;
23303	inconsulte	inconsultius	inconsultissime		ADV	X		X X X D X	rashly, ill-advisedly, incautiously; without due care and consideration;
23304	inconsummabil	inconsummabil			ADJ	3 2 POS		E E X F M	incompleteable, impossible of completion;
23305	inconsummat	inconsummat			ADJ	1 1 POS		F E X E M	incomplete;
23306	inconsummatio	inconsummation			N	3 1 F T		F E X F E	nonconsumation; incompleteness;
23307	inconsumpt	inconsumpt			ADJ	1 1 POS		X X X E C	unconsumed, undiminished;
23308	incontaminabil	incontaminabil			ADJ	3 2 POS		E X X E S	undefileable;
23309	incontanter				ADV	POS		G X X E T	without hesitation/hesitating; (Erasmus);
23310	incontent	incontent			ADJ	1 1 POS		X X X E C	not stretched; untuned;
23311	incontinens	incontinent			ADJ	3 1 POS		X X X D X	intemperate;
23312	inconveniens	inconvenient			ADJ	3 1 POS		X X X E C	not suiting, dissimilar;
23313	inconvenienter				ADV	POS		D X X E S	unsuitably; ill-matchedly; inconveniently;
23314	inconvenienti	inconvenienti			N	1 1 F T		X X X F S	inconsistency;
23315	incoqu	incoqu	incox	incoct	V	3 1 X		X X X D X	boil in or down; boil;
23316	incorporal	incorporal			ADJ	3 2 POS		X X X D O	incorporeal; intangible; immaterial; not having body/substance; unearthly;
23317	incorporatio	incorporation			N	3 1 F T		D X X D S	incorporating, embodying; incorporation (w/public funds); paying into treasury;
23318	incorpore	incorpore			ADJ	1 1 POS		F X X E X	incorporeal; intangible; immaterial; not having body/substance; unearthly;
23319	incorrect	incorrect			ADJ	1 1 POS		X X X E C	unamended, unimproved;
23320	incorrigibil	incorrigibil			ADJ	3 2 POS		F X X D M	incorrigible;
23321	incorrigibilitas	incorrigibilitat			N	3 1 F T		F X X E M	incorrigibility;
23322	incorrupt	incorrupt	incorrupti	incorruptissi	ADJ	1 1 X		X X X B O	intact, uncorrupted, unspoiled/untainted; genuine; pure; chaste; imperishable;
23323	incorrupte	incorruptius	incorruptissime		ADV	X		X X X E O	honestly, uprightly, without being influenced by bribes; correctly/faultlessly;
23324	incorruptel	incorruptel			N	1 1 F T		E E X D S	incorruptibility, imperishability;
